,date,team1,team2,toss_winner,toss_decision,winner,venue,batting_team,bowling_team
233,2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians
234,2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
237,2011-04-10,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians
240,2011-04-12,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals
241,2011-04-12,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
242,2011-04-13,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab
245,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders
247,2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
250,2011-04-17,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
255,2011-04-21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals
256,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
257,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore
258,2011-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab
262,2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore
265,2011-04-28,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Daredevils
266,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals
269,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
272,2011-05-02,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Kings XI Punjab
275,2011-05-04,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
279,2011-05-06,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
280,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
281,2011-05-07,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
284,2011-05-09,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals
286,2011-05-10,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians
287,2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore
288,2011-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
290,2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
292,2011-05-15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
295,2011-05-17,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Royal Challengers Bangalore
298,2011-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
301,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
302,2011-05-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
303,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
304,2011-05-25,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
305,2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
306,2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
307,2012-04-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
308,2012-04-05,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
310,2012-04-06,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
311,2012-04-07,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
313,2012-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders
316,2012-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
317,2012-04-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils
318,2012-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
319,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
321,2012-04-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
324,2012-04-15,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
325,2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
326,2012-04-16,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
329,2012-04-18,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders
332,2012-04-20,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore
333,2012-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
335,2012-04-22,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,Kings XI Punjab
337,2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals
339,2012-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians
341,2012-04-27,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians
342,2012-04-28,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings
343,2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore
344,2012-04-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals
346,2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
348,2012-05-01,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils
349,2012-05-02,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
353,2012-05-05,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab
354,2012-05-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,Mumbai Indians
356,2012-05-07,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders
359,2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore
360,2012-05-10,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings
362,2012-05-12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Eden Gardens,Mumbai Indians,Kolkata Knight Riders
363,2012-05-12,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings
366,2012-05-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
367,2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings
368,2012-05-15,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
369,2012-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
370,2012-05-17,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab
371,2012-05-17,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils
373,2012-05-19,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
376,2012-05-20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians
377,2012-05-22,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Delhi Daredevils
378,2012-05-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians
379,2012-05-25,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
380,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
381,2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
382,2013-04-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
384,2013-04-06,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils
385,2013-04-06,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings
387,2013-04-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
388,2013-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders
389,2013-04-09,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
390,2013-04-10,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings
391,2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
393,2013-04-12,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad
395,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
396,2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad
397,2013-04-14,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
399,2013-04-16,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders
400,2013-04-16,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
402,2013-04-17,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians
403,2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils
404,2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
405,2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings
406,2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
407,2013-04-21,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
409,2013-04-22,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
411,2013-05-16,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
412,2013-04-24,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
413,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings
414,2013-04-26,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
415,2013-04-27,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals
416,2013-04-27,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore
417,2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
419,2013-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals
420,2013-04-29,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Kings XI Punjab
422,2013-05-01,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad
423,2013-05-01,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,Delhi Daredevils
424,2013-05-02,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab
426,2013-05-03,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
427,2013-05-04,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad
428,2013-05-14,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
429,2013-05-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Chennai Super Kings
431,2013-04-09,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
432,2013-05-07,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals
433,2013-05-07,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders
434,2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad
435,2013-05-09,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals
437,2013-05-10,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils
439,2013-05-11,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab
440,2013-05-12,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,JSCA International Stadium Complex,Royal Challengers Bangalore,Kolkata Knight Riders
441,2013-05-12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals
442,2013-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab
443,2013-05-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
445,2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
446,2013-05-15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
447,2013-05-06,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab
448,2013-05-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals
449,2013-05-18,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Mumbai Indians
451,2013-05-18,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings
452,2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad
453,2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,Mumbai Indians
454,2013-05-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,Feroz Shah Kotla,Sunrisers Hyderabad,Rajasthan Royals
455,2013-05-24,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,Eden Gardens,Rajasthan Royals,Mumbai Indians
456,2013-05-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Eden Gardens,Mumbai Indians,Chennai Super Kings
457,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians
458,2014-04-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore
459,2014-04-18,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab
460,2014-04-18,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals
461,2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore
462,2014-04-19,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils
463,2014-04-20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab
464,2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils
465,2014-04-22,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad
466,2014-04-23,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals
467,2014-04-24,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
468,2014-04-25,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils
469,2014-04-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings
470,2014-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals
